,단어,빈도
809,걸린,1
810,걸릴,2
811,걸림돌이,2
812,걸어,2
813,걸어갔다,1
814,걸어서,3
815,걸었다,1
816,걸음을,2
817,걸쳐,1
818,걸쳐서,2
819,걸친,1
820,검경,1
821,검경의,1
822,검사,10
823,검사가,2
824,검사들이,1
825,검사로만,1
826,검사를,4
827,검사와,3
828,검색,1
829,검색해,40
830,검수완박,6
831,검수완박법,1
832,검수완박법에,1
833,검수완박법이,1
834,검수완박보다,1
835,검수완박을,1
836,검수완박이,1
837,검은,1
838,검은색,3
839,검증,3
840,검증기구,1
841,검증된,1
842,검증없이,1
843,검증은,1
844,검증을,4
845,검증이,1
846,검증하는,1
847,검증할,2
848,검찰,39
849,검찰개혁,1
850,검찰개혁이,1
851,검찰공화국,1
852,검찰공화국으로,1
853,검찰과,2
854,검찰과는,1
855,검찰도,1
856,검찰로서,1
857,검찰만,1
858,검찰수사가,1
859,검찰수사는,1
860,검찰에,5
861,검찰에게,1
862,검찰에서,2
863,검찰에서만,1
864,검찰은,4
865,검찰을,2
866,검찰의,7
867,검찰이,12
868,검찰인사,2
869,검찰총장,8
870,검찰총장의,1
871,검토,4
872,검토가,1
873,검토되는,1
874,검토될,1
875,검토를,6
876,검토에,1
877,검토중이라고,1
878,검토하겠다,2
879,검토하고,4
880,검토하기로,1
881,검토하는,2
882,검토하라고,1
883,검토하지,1
884,검토한다,1
885,검토할,4
886,검토해,2
887,검토해봐야,3
888,검토해서,1
889,검토해야,1
890,검토해왔고,1
891,검토했기,1
892,겁니까,13
893,겁니다,57
894,것과,18
895,것까지,1
896,것까지도,1
897,것까진,1
898,것도,36
899,것들에,1
900,것들은,4
901,것들을,12
902,것들이,12
903,것들입니다,1
904,것마저도,1
905,것만,2
906,것보다,2
907,것보다는,4
908,것에,38
909,것에는,1
910,것에서,1
911,것으로는,1
912,것으로도,1
913,것이거든요,3
914,것이고,21
915,것이고요,4
916,것이기,6
917,것이냐,17
918,것이니,1
919,것이니까,1
920,것이다라고,2
921,것이다만,1
922,것이라,3
923,것이라고,18
924,것이라는,8
925,것이라도,1
926,것이라며,2
927,것이란,8
928,것이랑은,1
929,것이며,3
930,것이면,1
931,것이야말로,1
932,것이어서,1
933,것이었다,3
934,것이었다고,1
935,것이었지,1
936,것이죠,6
937,것이지,11
938,것이지만,2
939,것인,1
940,것인가가,1
941,것인가라는,1
942,것인데,11
943,것인지를,1
944,것일,12
945,것임을,3
946,것입니까,1
947,것입니다,9
948,것조차,1
949,것조차도,1
950,것처럼,10
951,것처럼만,1
952,겉과,4
953,게시글마다,1
954,게시물을,4
955,게시물이었다,1
956,게시방법을,1
957,게시제도도,1
958,게시판에서,1
959,게재,2
960,게재되지,2
961,게재하지,1
962,게재했다,2
963,게재했다는,1
964,게재했습니다,1
965,게좋다고,1
966,겨냥하기도,1
967,겨냥한,5
968,겨냥해,7
969,겨뤄보기는커녕,1
970,겨울이다,1
971,격동의,1
972,격렬하게,1
973,격렬한,2
974,격리,3
975,격리가,1
976,격리했던,1
977,격분했다,2
978,격식,1
979,격으로,1
980,격의,3
981,격차,1
982,격하게,1
983,격화되는,1
984,격화될,4
985,겪고,6
986,겪는,1
987,겪던,1
988,겪었던,3
989,겪었지,1
990,겪었지만,1
991,겪으면서,2
992,겪은,2
993,겪을,1
994,견제,3
995,견제구를,1
996,견제론이,1
997,견제를,1
998,견제법과,1
999,견제에,3
1000,견제와,2
1001,견제하거나,1
1002,견제하게,1
1003,견제하고,1
1004,견제하는,1
1005,견지해,1
1006,견지해야,1
1007,견해,2
1008,견해를,1
1009,결격기간을,1
1010,결과가,5
1011,결과겠습니다마는,1
1012,결과는,17
1013,결과로,1
1014,결과론으로만,1
1015,결과를,11
1016,결과물을,2
1017,결과물이,1
1018,결과에,6
1019,결과이기는,1
1020,결과적으로,4
1021,결과적으로는,3
1022,결국에는,7
1023,결국은,18
1024,결단력,1
1025,결단만,1
1026,결단은,1
1027,결단을,1
1028,결단이,1
1029,결렬돼서,1
1030,결렬됐다고,1
1031,결렬됐을,1
1032,결렬로,1
1033,결렬의,2
1034,결론에,1
1035,결론은,2
1036,결론을,9
1037,결론이,8
1038,결론입니다,1
1039,결론적으로,1
1040,결별해야,1
1041,결성,1
1042,결성됐다가,1
1043,결성하겠다고,1
1044,결성하자고,2
1045,결실이,1
1046,결심,3
1047,결의가,1
1048,결의를,2
1049,결의문을,1
1050,결의안,1
1051,결이,1
1052,결재를,1
1053,결정,1
1054,결정권을,1
1055,결정됐다,2
1056,결정됐다고,1
1057,결정됐습니다,1
1058,결정되자,1
1059,결정된,2
1060,결정될,1
1061,결정됩니다,1
1062,결정으로,1
1063,결정은,3
1064,결정을,3
1065,결정이,2
1066,결정이나,1
1067,결정적,1
1068,결정적으로,1
1069,결정적인,3
1070,결정하는,3
1071,결정하리라고,1
1072,결정하실,1
1073,결정한,2
1074,결정할,7
1075,결정해야,2
1076,결정했다,3
1077,결제하게,1
1078,결집시켜,1
1079,결집해,1
1080,결코,4
1081,결합해,1
1082,겸,11
1083,겸손보다는,4
1084,겸손하고,1
1085,겸손하지,1
1086,겸손한,1
1087,겸손했다,1
1088,겸양적인,1
1089,겸임교수로,2
1090,겸임이,1
1091,겸임하는,1
1092,겸직,1
1093,겹치는,1
1094,겹친다,1
1095,경계,1
1096,경계가,1
1097,경계를,10
1098,경계선을,1
1099,경계하고,1
1100,경계하는,1
1101,경계해야,1
1102,경계했다,3
1103,경고,1
1104,경고라든지,1
1105,경고성,1
1106,경고한,1
1107,경고했는데,1
1108,경고했다,3
1109,경고했습니다,1
1110,경과,1
1111,경기,9
1112,경기도,11
1113,경기도도,1
1114,경기도민,1
1115,경기도민을,1
1116,경기도민의,2
1117,경기도에서부터,2
1118,경기도와,1
1119,경기도정을,1
1120,경기도지사,18
1121,경기도지사도,1
1122,경기도지사직,3
1123,경기도청,3
1124,경기둔화,1
1125,경기지사,3
1126,경기지사에,1
1127,경남,27
1128,경남도의사회,1
1129,경남도의원은,1
1130,경남도지사에,1
1131,경남영업본부장,1
1132,경남지사,2
1133,경남지역본부장,1
1134,경력,1
1135,경력과,1
1136,경력들로,1
1137,경력에,1
1138,경력을,1
1139,경력이,1
1140,경례,1
1141,경로로,2
1142,경로를,2
1143,경매사를,1
1144,경무대는,3
1145,경무대라는,1
1146,경무대를,2
1147,경보,9
1148,경보를,1
1149,경보제도를,1
1150,경보훈련과,1
1151,경북,5
1152,경북도,2
1153,경북도가,1
1154,경북도는,5
1155,경북도의원,1
1156,경북도의원을,1
1157,경북도지사,1
1158,경북도지사에,1
1159,경북도청,1
1160,경북에서,1
1161,경상국립대학교병원,1
1162,경상남도가,1
1163,경선,6
1164,경선과정에서,1
1165,경선에서,3
1166,경선을,2
1167,경솔하게,1
1168,경시하던,1
1169,경실련과,1
1170,경영,1
1171,경영연구원,1
1172,경우가,7
1173,경우는,15
1174,경우도,4
1175,경우에,11
1176,경우에는,25
1177,경우에도,4
1178,경우에만,1
1179,경위,2
1180,경위는,1
1181,경위를,1
1182,경위야,1
1183,경위에,1
1184,경유값이,1
1185,경장갑,1
1186,경쟁,2
1187,경쟁력,1
1188,경쟁률은,1
1189,경쟁에,1
1190,경쟁은,1
1191,경쟁을,2
1192,경쟁이라는,2
1193,경쟁자들끼리,1
1194,경쟁하게,1
1195,경제,24
1196,경제가,2
1197,경제계와,2
1198,경제과업들,1
1199,경제단체,1
1200,경제단체의,1
1201,경제를,5
1202,경제부문에서,1
1203,경제부시장은,1
1204,경제부처이고,1
1205,경제부총리,4
1206,경제부총리는,1
1207,경제부총리도,1
1208,경제사회이사회,2
1209,경제사회이사회는,1
1210,경제생활,1
1211,경제수석,1
